date,time,sensor,status
2023/10/13,15:36:14,61,0.5
2023/10/13,15:36:14,2,0.5
2023/10/13,15:36:13,102,1.0
2023/10/13,15:36:12,61,1.0
2023/10/13,15:36:12,1,0.5
2023/10/13,15:36:11,3,1.0
2023/10/13,15:36:10,2,1.0
2023/10/13,15:36:06,100,1.0
2023/10/13,15:36:04,1,1.0
2023/10/13,15:35:55,100,0.5
2023/10/13,15:35:48,1,0.5
2023/10/13,15:35:40,103,0.5
2023/10/13,15:35:33,11,0.5
2023/10/13,15:35:33,3,0.5
2023/10/13,15:35:32,1,1.0
2023/10/13,15:35:30,100,1.0
2023/10/13,15:35:29,61,0.5
2023/10/13,15:35:29,11,1.0
2023/10/13,15:35:28,27,0.5
2023/10/13,15:35:28,22,0.5
2023/10/13,15:35:28,24,0.5
2023/10/13,15:35:27,21,0.5
2023/10/13,15:35:26,3,1.0
2023/10/13,15:35:26,61,1.0
2023/10/13,15:35:25,25,0.5
2023/10/13,15:35:25,27,1.0
2023/10/13,15:35:24,21,1.0
2023/10/13,15:35:23,22,1.0
2023/10/13,15:35:23,24,1.0
2023/10/13,15:35:21,25,1.0
2023/10/13,15:35:17,22,0.5
2023/10/13,15:35:13,22,1.0
2023/10/13,15:35:10,22,0.5
2023/10/13,15:35:08,22,1.0
2023/10/13,15:35:04,104,0.5
2023/10/13,15:34:57,27,0.5
2023/10/13,15:34:52,27,1.0
2023/10/13,15:34:51,103,1.0
2023/10/13,15:34:51,62,0.5
2023/10/13,15:34:48,64,0.5
2023/10/13,15:34:47,63,0.5
2023/10/13,15:34:46,62,1.0
2023/10/13,15:34:44,63,1.0
2023/10/13,15:34:43,64,1.0
2023/10/13,15:34:40,63,0.5
2023/10/13,15:34:39,64,0.5
2023/10/13,15:34:39,62,0.5
2023/10/13,15:34:36,64,1.0
2023/10/13,15:34:32,64,0.5
2023/10/13,15:34:31,106,0.5
2023/10/13,15:34:29,62,1.0
2023/10/13,15:34:27,63,1.0
2023/10/13,15:34:27,64,1.0
2023/10/13,15:34:24,64,0.5
2023/10/13,15:34:22,63,0.5
2023/10/13,15:34:21,65,0.5
2023/10/13,15:34:20,64,1.0
2023/10/13,15:34:20,104,1.0
2023/10/13,15:34:18,63,1.0
2023/10/13,15:34:06,104,0.5
2023/10/13,15:33:58,63,0.5
2023/10/13,15:33:58,64,0.5
2023/10/13,15:33:57,65,1.0
2023/10/13,15:33:55,106,1.0
2023/10/13,15:33:52,63,1.0
2023/10/13,15:33:52,64,1.0
2023/10/13,15:33:48,63,0.5
2023/10/13,15:33:48,64,0.5
2023/10/13,15:33:47,62,0.5
2023/10/13,15:33:45,63,1.0
2023/10/13,15:33:44,64,1.0
2023/10/13,15:33:40,105,0.5
2023/10/13,15:33:38,62,1.0
2023/10/13,15:33:36,63,0.5
2023/10/13,15:33:36,64,0.5
2023/10/13,15:33:34,81,0.5
2023/10/13,15:33:29,104,1.0
2023/10/13,15:33:28,63,1.0
2023/10/13,15:33:27,63,0.5
2023/10/13,15:33:23,63,1.0
2023/10/13,15:33:22,81,1.0
2023/10/13,15:33:20,63,0.5
2023/10/13,15:33:19,81,0.5
2023/10/13,15:33:16,104,0.5
2023/10/13,15:33:13,63,1.0
2023/10/13,15:33:09,63,0.5
2023/10/13,15:33:04,105,1.0
2023/10/13,15:33:02,81,1.0
2023/10/13,15:33:02,81,0.5
2023/10/13,15:32:59,63,1.0
2023/10/13,15:32:59,64,1.0
2023/10/13,15:32:52,64,0.5
2023/10/13,15:32:52,66,0.5
2023/10/13,15:32:51,63,0.5
2023/10/13,15:32:50,62,0.5
2023/10/13,15:32:49,66,1.0
2023/10/13,15:32:48,63,1.0
2023/10/13,15:32:47,64,1.0
2023/10/13,15:32:47,66,0.5
2023/10/13,15:32:45,103,0.5
2023/10/13,15:32:44,64,0.5
2023/10/13,15:32:43,66,1.0
2023/10/13,15:32:43,63,0.5
2023/10/13,15:32:42,62,1.0
2023/10/13,15:32:40,62,0.5
2023/10/13,15:32:38,64,1.0
2023/10/13,15:32:37,41,0.5
2023/10/13,15:32:37,63,1.0
2023/10/13,15:32:37,61,0.5
2023/10/13,15:32:35,3,0.5
2023/10/13,15:32:35,62,1.0
2023/10/13,15:32:34,21,0.5
2023/10/13,15:32:33,104,1.0
2023/10/13,15:32:32,24,0.5
2023/10/13,15:32:32,41,1.0
2023/10/13,15:32:32,61,1.0
2023/10/13,15:32:32,22,0.5
2023/10/13,15:32:32,23,0.5
2023/10/13,15:32:32,3,1.0
2023/10/13,15:32:31,25,0.5
2023/10/13,15:32:29,21,1.0
